Date (Thursday),Forecasted NIFTY Value(35),Forecasted NIFTY Value(-20)
2024-10-24,26100,24700
2024-10-31,26300,24600
2024-11-07,26400,24500
2024-11-14,26600,24400
2024-11-21,26800,24300
2024-11-28,26900,24200
2024-12-05,27100,24100
2024-12-12,27200,24000
2024-12-19,27400,23900
2024-12-26,27600,23800
2025-01-02,27700,23700
2025-01-09,27900,23600
2025-01-16,28000,23500
2025-01-23,28200,23400
2025-01-30,28400,23300
2025-02-06,28500,23200
2025-02-13,28700,23100
2025-02-20,28800,23000
2025-02-27,29000,22900
2025-03-06,29200,22800
2025-03-13,29300,22700
2025-03-20,29500,22700
2025-03-27,29600,22600
2025-04-03,29800,22500
2025-04-10,30000,22400
2025-04-17,30100,22300
2025-04-24,30300,22200
2025-05-01,30400,22100
2025-05-08,30600,22000
2025-05-15,30800,21900
2025-05-22,30900,21800
2025-05-29,31100,21700
2025-06-05,31200,21600
2025-06-12,31400,21500
2025-06-19,31600,21400
2025-06-26,31700,21300
2025-07-03,31900,21200
2025-07-10,32000,21100
2025-07-17,32200,21000
2025-07-24,32400,20900
2025-07-31,32500,20800
2025-08-07,32700,20700
2025-08-14,32800,20600
2025-08-21,33000,20600
2025-08-28,33200,20500
2025-09-04,33300,20400
2025-09-11,33500,20300
2025-09-18,33600,20200
2025-09-25,33800,20100
2025-10-02,34000,20000
2025-10-09,34100,19900
2025-10-16,34300,19800
2025-10-23,34400,19700
2025-10-30,34600,19600
2025-11-06,34800,19500
2025-11-13,34900,19400
2025-11-20,35100,19300
2025-11-27,35200,19200
2025-12-04,35400,19100
2025-12-11,35600,19000
2025-12-18,35700,18900
2025-12-25,35900,18800
