Date	      +40 (-50)
2025-01-31	537	525
2025-02-07	540	523
2025-02-14	544	521
2025-02-21	547	519
2025-02-28	551	518
2025-03-07	554	516
2025-03-14	558	514
2025-03-21	561	512
2025-03-28	565	510
2025-04-04	569	508
2025-04-11	572	506
2025-04-18	576	504
2025-04-25	580	502
2025-05-02	584	500
2025-05-09	587	498
2025-05-16	591	496
2025-05-23	595	494
2025-05-30	599	492
2025-06-06	603	490
2025-06-13	607	488
2025-06-20	611	486
2025-06-27	615	484
2025-07-04	619	482
2025-07-11	623	480
2025-07-18	627	478
2025-07-25	631	476
2025-08-01	635	394
