Friday,Projected Value (15%),Projected Value (52.6%),Projected Value (-43.8%),Projected Value (25%),Projected Value (-25%)
2024-10-11,577,577,577,577,577
2024-10-18,579,582,571,580,574
2024-10-25,581,587,565,582,571
2024-11-01,582,592,559,585,568
2024-11-08,584,597,552,587,565
2024-11-15,585,601,546,590,562
2024-11-22,587,606,540,593,559
2024-11-29,588,611,534,595,556
2024-12-06,590,616,529,598,553
2024-12-13,592,621,523,600,549
2024-12-20,593,626,517,603,546
2024-12-27,595,631,511,605,543
2025-01-03,596,637,506,608,540
2025-01-10,598,642,500,611,537
2025-01-17,600,647,495,613,534
2025-01-24,601,652,489,616,532
2025-01-31,603,658,484,619,529
2025-02-07,604,663,478,621,526
2025-02-14,606,668,473,624,523
2025-02-21,608,674,468,627,520
2025-02-28,609,679,463,629,517
2025-03-07,611,685,458,632,514
2025-03-14,613,690,453,635,511
2025-03-21,614,696,448,637,509
2025-03-28,616,702,443,640,506
2025-04-04,618,708,438,643,503
2025-04-11,619,713,433,646,500
2025-04-18,621,719,428,648,497
2025-04-25,623,725,424,651,495
2025-05-02,624,731,419,654,492
2025-05-09,626,737,414,657,489
2025-05-16,628,743,410,660,487
2025-05-23,629,749,405,662,484
2025-05-30,631,755,401,665,481
2025-06-06,633,761,396,668,479
2025-06-13,634,767,392,671,476
2025-06-20,636,774,388,674,473
2025-06-27,638,780,383,677,471
2025-07-04,640,786,379,680,468
2025-07-11,641,793,375,683,466
2025-07-18,643,799,371,686,463
2025-07-25,645,806,367,688,460
2025-08-01,646,812,363,691,458
2025-08-08,648,819,359,694,455
2025-08-15,650,826,355,697,453
2025-08-22,652,832,351,700,450
2025-08-29,653,839,347,703,448
2025-09-05,655,846,343,706,445
2025-09-12,657,853,339,709,443
2025-09-19,659,860,336,713,440
2025-09-26,660,867,332,716,438
2025-10-03,662,874,328,719,436
