Date,SPY1,SPY2,QQQ1,QQQ2
2025-11-21,698,683,644,631
2025-11-28,700,681,647,628
2025-12-05,703,678,649,626
2025-12-12,705,676,651,624
2025-12-19,708,673,653,622
2025-12-26,710,671,656,619
2026-01-02,713,668,658,617
2026-01-09,715,666,660,615
2026-01-16,718,663,663,612
2026-01-23,720,661,665,610
2026-01-30,723,658,667,608
2026-02-06,725,656,669,606
2026-02-13,727,654,672,603
2026-02-20,730,651,674,601
2026-02-27,732,649,676,599
2026-03-06,735,646,678,597
2026-03-13,737,644,681,594
2026-03-20,740,641,683,592
2026-03-27,742,639,685,590
2026-04-03,745,636,688,587
2026-04-10,747,634,690,585
2026-04-17,750,631,692,583
2026-04-24,752,629,694,581
2026-05-01,755,626,697,578
2026-05-08,757,624,699,576
2026-05-15,759,621,701,574
2026-05-22,762,619,703,572
2026-05-29,764,617,706,569
2026-06-05,767,614,708,567
2026-06-12,769,612,710,565
2026-06-19,772,609,713,562
2026-06-26,774,607,715,560
2026-07-03,777,604,717,558
2026-07-10,779,602,719,556
2026-07-17,782,599,722,553
2026-07-24,784,597,724,551
2026-07-31,787,594,726,549
2026-08-07,789,592,728,546
2026-08-14,792,589,731,544
2026-08-21,794,587,733,542
2026-08-28,796,585,735,540
2026-09-04,799,582,738,537
2026-09-11,801,580,740,535
2026-09-18,804,577,742,533
2026-09-25,806,575,744,531
2026-10-02,809,572,747,528
2026-10-09,811,570,749,526
2026-10-16,814,567,751,524
2026-10-23,816,565,754,521
2026-10-30,819,562,756,519
2026-11-06,821,560,758,517
2026-11-13,824,557,760,515
2026-11-20,826,555,763,512
2026-11-27,828,552,765,510
